tahun,bulan,kode_valuta,nama_valuta,nilai_impor
2005,"Agustus","FRF","Franc Perancis",0
2005,"Agustus","GBP","Poundsterling Inggris",12914
2005,"Agustus","HKD","Dolar Hong Kong",13780
2005,"Agustus","IDR","Rupiah Indonesia",45140
2005,"Agustus","ITL","Lira Italia",0
2005,"Agustus","JPY","Yen Jepang",314463
2005,"Agustus","KRW","Won Korea",0
2005,"Agustus","MYR","Ringgit Malaysia",5795
2005,"Agustus","NLG","Gulden Belanda",0
2005,"Agustus","NOK","Krone Norwegia",15
2005,"Agustus","NZD","Dolar Selandia Baru",629
2005,"Agustus","PHP","Peso Filipina",0
2005,"Agustus","QAR","Riyal Qatar",0
2005,"Agustus","SAR","Riyal Saudi Arabia",0
2005,"Agustus","SEK","Krone Swedia",3352
2005,"Agustus","SGD","Dolar Singapura",124137
2005,"Agustus","THB","Baht Thailand",8704
2005,"Agustus","TWD","Dolar Taiwan",132
2005,"Agustus","USD","Dolar Amerika Serikat",6177623
2005,"Agustus","Lainnya","Valuta lainnya",10397
2005,"Agustus","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",83000
2005,"Agustus","Lainnya","Asuransi dan ongkos pengangkutan",584342
2005,"September","AED","Dirham Uni Emirat Arab",0
2005,"September","ATS","Schilling Austria",0
2005,"September","AUD","Dolar Australia",46597
2005,"September","BEF","Franc Belgia",0
2005,"September","BND","Dolar Brunei",14
2005,"September","CAD","Dolar Kanada",1264
2005,"September","CHF","Franc Swiss",4554
2005,"September","CNY","Yuan Renminbi China",0
2005,"September","DEM","Mark Jerman",0
2005,"September","DKK","Krone Denmark",548
2005,"September","EUR","Euro",171512
2005,"September","FRF","Franc Perancis",0
2005,"September","GBP","Poundsterling Inggris",11010
2005,"September","HKD","Dolar Hong Kong",12399
2005,"September","IDR","Rupiah Indonesia",41599
2005,"September","ITL","Lira Italia",0
2005,"September","JPY","Yen Jepang",349635
2005,"September","KRW","Won Korea",0
2005,"September","MYR","Ringgit Malaysia",5408
2005,"September","NLG","Gulden Belanda",0
2005,"September","NOK","Krone Norwegia",350
2005,"September","NZD","Dolar Selandia Baru",124
2005,"September","PHP","Peso Filipina",722
2005,"September","QAR","Riyal Qatar",0
2005,"September","SAR","Riyal Saudi Arabia",0
2005,"September","SEK","Krone Swedia",1454
2005,"September","SGD","Dolar Singapura",96687
2005,"September","THB","Baht Thailand",10456
2005,"September","TWD","Dolar Taiwan",37
2005,"September","USD","Dolar Amerika Serikat",5650763
2005,"September","Lainnya","Valuta lainnya",8971
2005,"September","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",64000
